x,y,zone
-0.015009587102219975,-0.10238019177206785,E
-0.005564903789150645,-0.10238019177206785,E
0.0038797795239186843,-0.10238019177206785,E
0.013324462836988014,-0.10238019177206785,E
0.041658512776196005,-0.10238019177206785,E
0.060547879402334664,-0.10238019177206785,E
0.069992562715404,-0.10238019177206785,E
0.07943724602847332,-0.10238019177206785,E
-0.07167768698063595,-0.09293550845899852,E
-0.04334363704142796,-0.09293550845899852,E
-0.024454270415289303,-0.09293550845899852,E
-0.015009587102219975,-0.09293550845899852,E
0.013324462836988014,-0.09293550845899852,E
0.032213829463126675,-0.09293550845899852,E
0.07943724602847332,-0.09293550845899852,E
0.08888192934154265,-0.09293550845899852,E
-0.07167768698063595,-0.08349082514592919,E
-0.05278832035449729,-0.08349082514592919,E
-0.015009587102219975,-0.08349082514592919,E
-0.005564903789150645,-0.08349082514592919,E
0.0038797795239186843,-0.08349082514592919,E
0.013324462836988014,-0.08349082514592919,E
0.022769146150057346,-0.08349082514592919,E
0.08888192934154265,-0.08349082514592919,E
-0.08112237029370528,-0.07404614183285986,E
-0.06223300366756662,-0.07404614183285986,E
-0.05278832035449729,-0.07404614183285986,E
-0.04334363704142796,-0.07404614183285986,E
-0.03389895372835863,-0.07404614183285986,E
-0.005564903789150645,-0.07404614183285986,E
0.0038797795239186843,-0.07404614183285986,E
0.013324462836988014,-0.07404614183285986,E
0.022769146150057346,-0.07404614183285986,E
0.07943724602847332,-0.07404614183285986,E
0.08888192934154265,-0.07404614183285986,E
-0.07167768698063595,-0.06460145851979053,E
-0.06223300366756662,-0.06460145851979053,E
-0.03389895372835863,-0.06460145851979053,E
-0.024454270415289303,-0.06460145851979053,E
0.0038797795239186843,-0.06460145851979053,E
0.013324462836988014,-0.06460145851979053,E
0.07943724602847332,-0.06460145851979053,E
0.1361053459068893,-0.06460145851979053,E
-0.03389895372835863,-0.0551567752067212,E
-0.005564903789150645,-0.0551567752067212,E
0.0038797795239186843,-0.0551567752067212,E
